"Nom";"ISIN";"Symbole";"Place";"Maturité";"Trading Currency";"Ouvert";"Haut";"Bas";"Dernier";"Last Date/Time";"Time Zone";"Volume";"Capitaux"
"European Bonds";"";;;;;;;;;;;;
"09 Avr 2019";;;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;;
"DOLPH FRN28SEP99";"XS1334170872";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPH161A1FRNSEP99";"XS1385037129";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPH161A2FRNSEP99";"XS1385038283";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPH161A3FRNSEP99";"XS1385038796";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPH161A4FRNSEP99";"XS1385037988";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHA FRN%28SEP99";"XS1046223134";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHE FRN%28SEP99";"XS1048897513";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHINM15A2SEP99";"XS1199502797";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHINM15A3SEP99";"XS1199502870";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHINM15A4SEP99";"XS1199502953";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOLPHMASA2FRNSEP99";"XS0972913908";;"Euronext Amsterdam";"2099-09-28";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOMOS08A FRN    55";"FR0010689604";;"Euronext Paris";"2055-12-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOMOS08B FRN    55";"FR0010689612";;"Euronext Paris";"2055-12-31";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOMOSA1FRNSEP2061";"FR0011129154";;"Euronext Paris";"2061-09-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOMOSA2FRNSEP2061";"FR0011129188";;"Euronext Paris";"2061-09-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOMOSBAFRNSEP2060";"FR0011129204";;"Euronext Paris";"2060-09-30";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DOURO 2FRN21DEC39";"PTSSCMOM0000";"BSSCM";"Euronext Lisbon";"2039-12-21";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DPBRH0,253%5NOV23";"FR0013374683";"DBRAM";"Euronext Paris";"2023-11-07";"%";"-";"-";"-";"-";"-";"-";"-";"-"
"DPBRH0,715%22JUN26";"FR0013343209";"DBRAK";"Euronext Paris";"2026-06-22";"%";"-";"-";"-";"-";"-";"-";"-";"-"
